week,icb,synthetic_dgp_version,resp_111_calls,bed_occupancy,dtoc_patients,ae_type1_attendances,ed_4hr_breach_count,ambulance_category_red_calls,elective_admissions,elective_cancellations,acute_admissions_nonelective,total_discharges,staff_absence_rate_pct,critical_care_occupancy_pct,mental_health_inpatient_beds_occ_pct,delayed_transfers_ge_21_days,ooh_primary_care_contacts,community_crisis_team_contacts,gp_same_day_booking_rate_pct,nhs_111_online_assessments_completed,social_care_package_delays_new,infection_isolation_beds_occupied,mean_los_acute_days,winter_pressure_index_demo
0,NHS Birmingham and Solihull ICB,2026.04.5,80.0,93.93723209091534,3.0,873.0,91.0,54.0,366.0,53.0,638.0,986.0,6.062741749254977,81.32141923481286,84.30286111733808,58.0,1238.0,280.0,35.68769396781963,1843.0,32.0,17.0,5.795570154423341,4.5810449872940255
1,NHS Birmingham and Solihull ICB,2026.04.5,56.0,92.88713004983735,4.0,1007.0,101.0,52.0,350.0,51.0,629.0,936.0,5.8570830012468384,75.16062737260036,81.59597448812787,45.0,1384.0,202.0,34.098219458992496,2089.0,33.0,21.0,5.477387166116406,4.81244338775275
2,NHS Birmingham and Solihull ICB,2026.04.5,69.0,87.38359991801923,2.0,941.0,113.0,50.0,398.0,61.0,621.0,1000.0,6.841750951406046,82.9761443612817,82.40096323349253,50.0,1220.0,246.0,39.17789745494928,1964.0,37.0,24.0,5.68464302151805,5.2361391992631985
3,NHS Birmingham and Solihull ICB,2026.04.5,95.0,88.321546353932,6.0,958.0,41.0,48.0,328.0,63.0,579.0,882.0,6.530567423804361,78.42568293753733,82.3788042111149,46.0,1222.0,246.0,39.60907608938384,2054.0,59.0,21.0,5.530744282437535,4.994749163959186
4,NHS Birmingham and Solihull ICB,2026.04.5,42.0,91.00775657892488,6.0,912.0,100.0,50.0,369.0,36.0,645.0,1023.0,6.051174287508901,80.36279176143584,81.56618829534635,58.0,1288.0,230.0,39.03441219265419,1924.0,57.0,22.0,5.903877494016649,4.762546993688564
5,NHS Birmingham and Solihull ICB,2026.04.5,61.0,85.44725210996492,5.0,856.0,106.0,56.0,378.0,55.0,541.0,888.0,6.8439109907057745,78.00244316548843,81.94613391750092,38.0,1314.0,236.0,40.16013198687387,1909.0,24.0,24.0,5.426022622355694,4.41200218523528
6,NHS Birmingham and Solihull ICB,2026.04.5,80.0,83.1311738949031,3.0,945.0,117.0,51.0,424.0,30.0,566.0,1011.0,6.646427255622581,76.64110339026983,88.33178021477416,70.0,1243.0,221.0,33.18083111338866,2126.0,46.0,18.0,5.511452031973851,4.484523528457023
7,NHS Birmingham and Solihull ICB,2026.04.5,90.0,93.19919262671834,7.0,886.0,81.0,51.0,372.0,62.0,653.0,1035.0,6.8485171454045615,81.26678214638163,81.95143221122561,42.0,1349.0,278.0,39.057578134952834,2015.0,47.0,17.0,5.511837389267665,4.899591305351779
8,NHS Birmingham and Solihull ICB,2026.04.5,62.0,88.09279382156384,2.0,966.0,104.0,66.0,415.0,58.0,612.0,1021.0,6.3749105335786025,76.9033021730816,83.0034745572508,51.0,1342.0,274.0,40.70951210907865,2010.0,59.0,20.0,5.6919313351929555,5.2137299450531565
9,NHS Birmingham and Solihull ICB,2026.04.5,149.0,93.72980996928048,7.0,1036.0,140.0,55.0,333.0,36.0,624.0,933.0,7.194234756105297,81.29671729632783,85.32181326933241,72.0,1305.0,278.0,39.657805162713245,1989.0,29.0,23.0,5.859751473992819,5.048801702833502
